Data,Wvht
2009-04-29 20:00:00,4.13
2009-04-29 21:00:00,3.01
2009-04-29 22:00:00,2.79
2009-04-29 23:00:00,3.94
2009-04-30 01:00:00,2.7
2009-04-30 02:00:00,3.56
2009-04-30 04:00:00,3.52
2009-04-30 05:00:00,3.05
2009-04-30 06:00:00,3.71
2009-04-30 07:00:00,3.71
2009-04-30 08:00:00,3.59
2009-04-30 09:00:00,3.72
2009-04-30 10:00:00,3.98
2009-04-30 11:00:00,4.24
